Flux Density B (T),Frequency (Hz),Temperature (C),Power Loss PV (W/m³)
0.013382295,700000,100,1112.353369
0.013894955,700000,100,1173.17868
0.014225293,700000,100,1282.03478
0.014632082,700000,100,1376.348214
0.015192619,700000,100,1477.599856
0.01562707,700000,100,1643.613178
0.016225724,700000,100,1764.52628
0.016611474,700000,100,1962.776753
0.017166979,700000,100,2144.89754
0.017824625,700000,100,2302.687839
0.018334341,700000,100,2516.348063
0.019036707,700000,100,2749.833246
0.019489286,700000,100,3058.786276
0.020046604,700000,100,3283.807189
0.02061986,700000,100,3525.381862
0.021110076,700000,100,3852.492582
0.021816019,700000,100,4063.153208
0.022334673,700000,100,4440.162289
0.023081568,700000,100,4852.15303
0.02385344,700000,100,5209.103731
0.024420531,700000,100,5898.110564
0.025001104,700000,100,6445.380412
0.025958866,700000,100,7043.429961
0.02670119,700000,100,7696.970922
0.02772408,700000,100,8117.853942
0.028383191,700000,100,9191.60043
0.029332355,700000,100,10044.46436
0.030171148,700000,100,10976.46325
0.031033927,700000,100,11994.93981
0.031921378,700000,100,13107.91808
0.032988863,700000,100,14072.20765
0.033932218,700000,100,15377.93003
0.034902549,700000,100,16804.80688
0.035900628,700000,100,18364.07981
0.037275937,700000,100,20068.03348
0.038162134,700000,100,21930.09245
0.039624079,700000,100,24394.01222
0.040949151,700000,100,27134.76168
0.042318534,700000,100,29130.94196
0.043528681,700000,100,31833.92388
0.044984327,700000,100,35410.57248
0.046270706,700000,100,38696.22445
0.047818047,700000,100,41542.92866
0.04918546,700000,100,45397.58551
0.050830274,700000,100,48737.27819
0.052038711,700000,100,53259.47942
0.053026113,700000,100,59243.36137
0.054542456,700000,100,64740.39386
0.055839147,700000,100,70747.48124
0.057435932,700000,100,78696.19912
0.059356651,700000,100,82999.43662
0.061054023,700000,100,89105.32547
0.062505519,700000,100,99116.609
0.063691523,700000,100,110252.694
0.065205723,700000,100,122639.9556
0.067070356,700000,100,131662.0161
0.068664885,700000,100,146454.6872
0.070961111,700000,100,154463.0702
0.072648138,700000,100,174893.8614
0.074725596,700000,100,194543.776
0.077224499,700000,100,205181.7494
0.079060432,700000,100,232321.0875
0.081321257,700000,100,253877.5377
0.082089142,700000,100,297843.7144
0.084436576,700000,100,319754.7139
0.086038707,700000,100,362048.5891
0.087671239,700000,100,402725.9679
0.088915933,700000,100,464158.8834
0.091029818,700000,100,516308.6977
0.093193958,700000,100,595067.8321
0.094962255,700000,100,661925.7079
0.096764105,700000,100,736295.2913
0.098600144,700000,100,848611.7795
0.099064572,700000,100,995573.2469
0.010047102,1000000,100,1173.17868
0.010334411,1000000,100,1259.484068
0.010629935,1000000,100,1352.138549
0.010831632,1000000,100,1504.055871
0.011193853,1000000,100,1586.300118
0.011513954,1000000,100,1702.99696
0.011898993,1000000,100,1861.013477
0.012239258,1000000,100,2033.691923
0.012589254,1000000,100,2183.301334
0.012888551,1000000,100,2385.884005
0.013319557,1000000,100,2516.348063
0.013572288,1000000,100,2799.068246
0.014092226,1000000,100,2952.125898
0.014495209,1000000,100,3226.045737
0.014979944,1000000,100,3463.371163
0.015553808,1000000,100,3852.492582
0.015923584,1000000,100,4285.333103
0.016533597,1000000,100,4519.662161
0.016926666,1000000,100,5117.476732
0.017575106,1000000,100,5397.30877
0.017908583,1000000,100,6111.209437
0.018507465,1000000,100,6445.380412
0.019036707,1000000,100,7043.429961
0.019765981,1000000,100,7428.576287
0.020141028,1000000,100,8263.201861
0.020912606,1000000,100,8715.04732
0.021611946,1000000,100,9523.693169
0.022022019,1000000,100,10783.38966
0.022758459,1000000,100,11373.04313
0.023190287,1000000,100,12650.84284
0.024078679,1000000,100,13107.91808
0.024535557,1000000,100,14580.63684
0.025475484,1000000,100,15107.43559
0.025958866,1000000,100,16804.80688
0.026826958,1000000,100,17723.72134
0.027854666,1000000,100,19368.25787
0.028516882,1000000,100,21165.38654
0.029332355,1000000,100,23129.26594
0.030313261,1000000,100,24830.78023
0.031033927,1000000,100,27134.76168
0.032374575,1000000,100,29130.94196
0.033457216,1000000,100,31833.92388
0.034576061,1000000,100,34787.70823
0.035732321,1000000,100,37346.88078
0.03658182,1000000,100,41542.92866
0.037805155,1000000,100,43814.56428
0.039069399,1000000,100,47037.80133
0.040375922,1000000,100,50498.15719
0.041530518,1000000,100,55183.74565
0.042517863,1000000,100,61383.8254
0.044146671,1000000,100,64740.39386
0.045837876,1000000,100,70747.48124
0.046707622,1000000,100,78696.19912
0.048496934,1000000,100,87537.98223
0.04988376,1000000,100,95660.39664
0.051069695,1000000,100,104536.4681
0.052530092,1000000,100,114236.1264
0.054032251,1000000,100,124835.7899
0.055577366,1000000,100,134019.3879
0.056631912,1000000,100,149076.9177
0.058251367,1000000,100,165826.2116
0.059917132,1000000,100,181212.7807
0.061920825,1000000,100,191121.7934
0.063095734,1000000,100,212594.9708
0.06490003,1000000,100,236480.732
0.066131468,1000000,100,263050.139
0.068342975,1000000,100,282401.5344
0.070297321,1000000,100,303176.5233
0.072307554,1000000,100,343277.6054
0.074026592,1000000,100,375129.413
0.076143468,1000000,100,409936.6644
0.077588243,1000000,100,455994.4298
0.079806969,1000000,100,498304.929
0.082475799,1000000,100,544541.3059
0.084436576,1000000,100,616567.6467
0.086443968,1000000,100,685841.0992
0.088499084,1000000,100,776557.1279
0.091029818,1000000,100,863805.9376
0.093193958,1000000,100,978061.3306
0.095858947,1000000,100,1107429.255
0.097677811,1000000,100,1231852.663
0.1,1000000,100,1445183.281
0.010047102,1500000,100,2749.833246
0.010285962,1500000,100,3058.786276
0.0105305,1500000,100,3402.45122
0.010882651,1500000,100,3588.502844
0.011246578,1500000,100,3784.728078
0.011513954,1500000,100,4135.902837
0.011787686,1500000,100,4519.662161
0.012181879,1500000,100,4766.804716
0.012589254,1500000,100,5117.476732
0.012949258,1500000,100,5592.313662
0.013319557,1500000,100,6003.714595
0.013700446,1500000,100,6445.380412
0.01402616,1500000,100,7043.429961
0.014495209,1500000,100,7428.576287
0.015050503,1500000,100,8263.201861
0.01548089,1500000,100,9191.60043
0.015998587,1500000,100,10044.46436
0.016378937,1500000,100,10976.46325
0.016768329,1500000,100,11994.93981
0.01732908,1500000,100,12877.35266
0.017824625,1500000,100,14072.20765
